T12 檔案比對版本來源記錄 20071208

S:蕭鎮國 Mr. Hsiao Chen-kuo
s:蕭鎮國 Mr. Hsiao Chen-kuo
H:HKCD（香港CD）
4:北美某大德提供 Text as provided by Anonymous from USA
K:維習安所提供高麗藏CD原經文 Tripitaka Koreana as provided by Mr. Christian Wittern
W:維習安所提供 Christian Wittern
P:東坡經文 Dongpo FTP Site
P:佛教經典系列經文, The Canon Series
P:ctc 大德輸入／gamblers 大德校對
F:kftseng kftseng
O:CBETA自行掃瞄辨識 CBETA OCR Group
m:摩訶工作室提供新式標點
l:西蓮淨苑提供新式標點
k:Kitty Kwong 提供新式標點
z:張曌昱大德提供新式標點
f:范振業大德提供新式標點
p:毛佩君、廖予安大德提供新式標點
c:Ccz 提供新式標點
q:毛佩君、廖予安、廖予慈大德提供新式標點
g:吉格艾諾提供新式標點
y:釋永明法師提供新式標點
b:陳伯勳大德提供新式標點
t:CBETA 提供新式標點
i:黃金愛大德提供新式標點
j:Jasmine 提供新式標點
x:邱昱翔提供新式標點
n:李鑫森提供新式標點
a:齊丐提供新式標點
u:李明芳大德提供新式標點
C:張革豐大德提供新式標點重校
H:其他 Others

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
s:蕭鎮國大德輸入, Text as inputted by Mr. Hsiao Chen-Kuo
4:北美某大德提供, Text as provided by Anonymous from USA
K:維習安大德提供之高麗藏 CD 經文, Tripitaka Koreana as provided by Mr. Christian Wittern
W:維習安大德提供, Text as provided by Mr. Christian Wittern
P:張自強大德輸入／Gamblers 大德校對, Text as inputted by Mr. Chang Tzu-Chiang / proofread by Mr. Gamblers
F:曾國豐大德輸入, Text as inputted by Mr. Tseng Kuo-Feng
O:CBETA 自行掃瞄辨識, CBETA OCR Group
m:摩訶工作室提供新式標點, Punctuated text as provided by Maha Studio
l:西蓮淨苑提供新式標點, Punctuated text as provided by The Seeland Monastery
k:Kitty Kwong 提供新式標點, Punctuated text as provided by Kitty Kwong
z:張曌昱大德提供新式標點, Punctuated text as provided by Mr. Zhang Zhao-Yu
f:范振業大德提供新式標點, Punctuated text as provided by Mr. Fan Zhen-Ye
p:毛佩君、廖予安大德提供新式標點, Punctuated text as provided by Mao Pei-Jun and Liao Yu-An
c:Ccz 提供新式標點, Punctuated text as provided by Ccz
q:毛佩君、廖予安、廖予慈大德提供新式標點, Punctuated text as provided by Mao Pei-Jun and Liao Yu-An and Liao Yu-Ci
g:吉格艾諾提供新式標點, Punctuated text as provided by Mr. Ji Ge Ai Nuo
y:釋永明法師提供新式標點, Punctuated text as provided by Ven. Shi Yong-Ming
b:陳伯勳大德提供新式標點, Punctuated text as provided by Mr. Chen Bo-Xun
t:CBETA 新式標點, Punctuated text as provided by CBETA
i:黃金愛大德提供新式標點, Punctuated text as provided by Ms. Huang Jin-Ai
j:Jasmine 提供新式標點, Punctuated text as provided by Jasmine
x:邱昱翔提供新式標點, Punctuated text as provided by Qiu Yu-Xiang
n:李鑫森提供新式標點, Punctuated text as provided by Li Xin-Sen
a:齊丐提供新式標點, Punctuated text as provided by Qi Gai
u:李明芳大德提供新式標點, Punctuated text as provided by Mr. Li Ming-Fang
C:張革豐大德提供新式標點重校, Re-proofing punctuated text as provided by Mr. Zhang Ge-Feng
H:其他, Others



比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】            高麗經號-冊
SKnH      T0374-12-p0365  V1.01  1999/12/10   40  大般涅槃經                               【北涼 曇無讖譯】              K0105-09
SsKqH     T0375-12-p0605  V1.01  1999/12/10   36  大般涅槃經                               【宋 慧嚴等依泥洹經加之】      K1403-38
SKfH      T0376-12-p0853  V1.02  2000/03/01    6  佛說大般泥洹經                           【東晉 法顯譯】                K0106-09
SKpH      T0377-12-p0900  V1.01  1999/12/10    2  大般涅槃經後分                           【唐 若那跋陀羅譯】            K0107-09
SKWuH     T0378-12-p0912  V1.01  1999/12/10    2  佛說方等般泥洹經                         【西晉 竺法護譯】              K0108-09
SKpH      T0379-12-p0928  V1.01  1999/12/10    3  四童子三昧經                             【隋 闍那崛多譯】              K0109-09
SKqH      T0380-12-p0945  V1.01  1999/12/10    5  大悲經                                   【高齊 那連提耶舍譯】          K0110-09
SKfH      T0381-12-p0973  V1.01  1999/12/10    3  等集眾德三昧經                           【西晉 竺法護譯】              K0140-10
SKpH      T0382-12-p0988  V1.01  1999/12/10    3  集一切福德三昧經                         【姚秦 鳩摩羅什譯】            K0141-10
SKqH      T0383-12-p1005  V1.01  1999/12/10    2  摩訶摩耶經                               【蕭齊 曇景譯】                K0373-12
SKfH      T0384-12-p1015  V1.01  1999/12/10    7  菩薩從兜術天降神母胎說廣普經             【姚秦 竺佛念譯】              K0406-13
SKqH      T0385-12-p1058  V1.01  1999/12/10    2  中陰經                                   【姚秦 竺佛念譯】              K0414-13
SKfH      T0386-12-p1070  V1.02  2000/03/01    2  蓮華面經                                 【隋 那連提耶舍譯】            K0420-13
SKgH      T0387-12-p1077  V1.01  1999/12/10    6  大方等無想經                             【北涼 曇無讖譯】              K0164-10
SyH       T0388-12-p1107  V1.01  1999/12/10    1  大雲無想經卷第九                         【姚秦 竺佛念譯】                   -
SKFzCH    T0389-12-p1110  V1.0   1999/12/10    1  佛垂般涅槃略說教誡經                     【姚秦 鳩摩羅什譯】            K0453-13
SKbCH     T0390-12-p1112  V1.0   1999/12/10    1  佛臨涅槃記法住經                         【唐 玄奘譯】                  K0483-13
SKcCH     T0391-12-p1114  V1.0   1999/12/10    1  般泥洹後灌臘經                           【西晉 竺法護譯】              K0480-13
SKqCH     T0392-12-p1114  V1.0   1999/12/10    1  佛滅度後棺斂葬送經                       【失譯】                       K0878-20
SKfCH     T0393-12-p1115  V1.0   1999/12/10    1  迦葉赴佛般涅槃經                         【東晉 竺曇無蘭譯】            K0994-30
SKqCH     T0394-12-p1116  V1.0   1999/12/10    1  佛入涅槃密迹金剛力士哀戀經       【失譯】                       K0997-30
SKkCH     T0395-12-p1118  V1.0   1999/12/10    1  佛說當來變經                             【西晉 竺法護譯】              K0518-14
SKPqCH    T0396-12-p1118  V1.01  1999/12/10    1  佛說法滅盡經                             【失譯】                       K0520-14
───────────────────────────────────────────────────────────────────
